scheme,dataset,size_bytes,p_sub,p_ins,p_del,replication,success_mean,success_std,success_ci95,byte_accuracy_mean,byte_accuracy_std,byte_accuracy_ci95,chunk_recovery_mean,chunk_recovery_std,chunk_recovery_ci95,effective_bits_per_base_mean,effective_bits_per_base_std,effective_bits_per_base_ci95,overhead_mean,overhead_std,overhead_ci95,trials
s1,random,20971,0.0,0.0,0.0,1,0.0,0.0,0.0,0.9145486624386057,0.04228744520887248,0.04144169630469503,0.9146341463414634,0.04224514164802141,0.041400238815060976,1.743862520458265,0.08063375281644533,0.07902107776011642,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0,0.00025,0.00025,1,0.0,0.0,0.0,0.29272566878069717,0.08651792284101589,0.08478756438419557,0.2926829268292683,0.08680551424415701,0.08506940395927387,0.5581696672122205,0.16497248226031502,0.1616730326151087,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0,0.0005,0.0005,1,0.0,0.0,0.0,0.09155500453006533,0.0462162203844951,0.0452918959768052,0.09146341463414634,0.04616998655122174,0.045246586820197304,0.1745771958537916,0.08812514617960053,0.08636264325600852,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0,0.001,0.001,1,0.0,0.0,0.0,0.006103666968671022,0.012207333937342043,0.011963187258595203,0.006097560975609756,0.012195121951219514,0.011951219512195124,0.011638479723586106,0.023276959447172212,0.022811420258228767,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0,0.0015,0.0015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0,0.002,0.002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0,0.003,0.003,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0001,0.0,0.0,1,0.0,0.0,0.0,0.7011706642506318,0.09183252540806004,0.08999587489989884,0.701219512195122,0.09207115164964326,0.09022972861665039,1.336993089652664,0.175106373007131,0.1716042455469884,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0001,0.00025,0.00025,1,0.0,0.0,0.0,0.3046826570025273,0.11722917867771321,0.11488459510415894,0.3048780487804878,0.11697150056860292,0.11463207055723086,0.5809692671394799,0.2235327428669143,0.219062088009576,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0001,0.0005,0.0005,1,0.0,0.0,0.0,0.06714033665538124,0.03662200181202613,0.0358895617757856,0.06707317073170732,0.03658536585365854,0.03585365853658537,0.12802327695944718,0.06983087834151663,0.0684342607746863,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0001,0.001,0.001,1,0.0,0.0,0.0,0.006103666968671022,0.012207333937342043,0.011963187258595203,0.006097560975609756,0.012195121951219514,0.011951219512195124,0.011638479723586106,0.023276959447172212,0.022811420258228767,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0001,0.0015,0.0015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0001,0.002,0.002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0001,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0001,0.003,0.003,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0002,0.0,0.0,1,0.0,0.0,0.0,0.5424753230651853,0.0802380409867256,0.07863328016699109,0.5426829268292683,0.08058629106341061,0.0789745652421424,1.0343926168394253,0.15299799577492476,0.14993803585942625,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0002,0.00025,0.00025,1,0.0,0.0,0.0,0.22533498640980404,0.06729581553778544,0.06594989922702972,0.22560975609756098,0.06716549447909881,0.06582218458951683,0.42966903073286045,0.12831974428467888,0.1257533493989853,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0002,0.0005,0.0005,1,0.0,0.0,0.0,0.07324400362405226,0.04457488109653729,0.04368338347460654,0.07317073170731708,0.044530289228062285,0.04363968344350104,0.13966175668303327,0.08499543839566134,0.08329552962774811,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0002,0.001,0.001,1,0.0,0.0,0.0,0.018311000906013064,0.02337526485009037,0.02290775955308856,0.01829268292682927,0.02335188067698386,0.022884843063444182,0.03491543917075832,0.04457198392173532,0.04368054424330062,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0002,0.0015,0.0015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0002,0.002,0.002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0002,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0488770206475608,0.0,0.0,4
s1,random,20971,0.0002,0.003,0.003,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0488770206475608,0.0,0.0,4
s2,random,20971,0.0,0.0,0.0,1,0.0,0.0,0.0,0.8535119927518955,0.034527554429212945,0.03383700334062868,0.8536585365853658,0.03449301371641693,0.03380315344208859,1.0849851488149362,0.04389145565466601,0.04301362654157269,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0,0.00025,0.00025,1,0.0,0.0,0.0,0.17040198369176482,0.05243495383712112,0.0513862547603787,0.17073170731707318,0.052688948767543584,0.05163516979219271,0.21661514214705704,0.0666553565447213,0.06532224941382687,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0,0.0005,0.0005,1,0.0,0.0,0.0,0.04882933574936817,0.0,0.0,0.04878048780487805,0.0,0.0,0.0620718918591259,0.0,0.0,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0,0.001,0.001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0,0.0015,0.0015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0,0.002,0.002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0,0.003,0.003,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0001,0.0,0.0,1,0.0,0.0,0.0,0.6523413285012636,0.03645816086465416,0.03572899764736107,0.6524390243902438,0.036585365853658514,0.03585365853658534,0.8292568345759834,0.046345644146975916,0.045418731264036394,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0001,0.00025,0.00025,1,0.0,0.0,0.0,0.15869534118544656,0.10827200998478592,0.1061065697850902,0.15853658536585366,0.1081636967126022,0.10600042277835016,0.20173364854215917,0.1376354683512727,0.13488275898424723,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0001,0.0005,0.0005,1,0.0,0.0,0.0,0.012207333937342043,0.014095815069624165,0.013813898768231681,0.012195121951219513,0.0140817138826738,0.013800079605020324,0.015517972964781475,0.01791861173698784,0.01756023950224808,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0001,0.001,0.001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0001,0.0015,0.0015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0001,0.002,0.002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0001,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0001,0.003,0.003,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0002,0.0,0.0,1,0.0,0.0,0.0,0.4699823565876687,0.03662200181202611,0.03588956177578558,0.4695121951219512,0.036585365853658534,0.03585365853658536,0.5974419591440868,0.046553918894344466,0.045622840516457576,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0002,0.00025,0.00025,1,0.0,0.0,0.0,0.06714033665538124,0.03662200181202613,0.0358895617757856,0.06707317073170732,0.036585365853658534,0.03585365853658536,0.08534885130629812,0.04655391889434443,0.04562284051645754,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0002,0.0005,0.0005,1,0.0,0.0,0.0,0.006103666968671022,0.012207333937342043,0.011963187258595203,0.006097560975609756,0.012195121951219513,0.011951219512195122,0.007758986482390737,0.015517972964781477,0.015207613505485848,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0002,0.001,0.001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0002,0.0015,0.0015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0002,0.002,0.002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0002,0.0025,0.0025,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5733155309713414,0.0,0.0,4
s2,random,20971,0.0002,0.003,0.003,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5733155309713414,0.0,0.0,4
s3,random,20971,0.0,0.0,0.0,4,0.0,0.0,0.0,0.9206523294072767,0.036622001812026114,0.03588956177578559,0.9207317073170731,0.03658536585365851,0.035853658536585335,0.045805891396359634,0.001822081348340196,0.0017856397213733921,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0,0.00025,0.00025,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0,0.0005,0.0005,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0,0.001,0.001,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0,0.0015,0.0015,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0,0.002,0.002,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0,0.0025,0.0025,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0,0.003,0.003,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0001,0.0,0.0,4,0.0,0.0,0.0,0.20117066425063182,0.023117730938066235,0.02265537631930491,0.20121951219512194,0.023351880676983853,0.022884843063444175,0.010008991781653919,0.0011501934431220869,0.001127189574259645,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0001,0.00025,0.00025,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0001,0.0005,0.0005,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0001,0.001,0.001,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0001,0.0015,0.0015,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0001,0.002,0.002,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0001,0.0025,0.0025,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0001,0.003,0.003,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0002,0.0,0.0,4,0.0,0.0,0.0,0.03662200181202613,0.014095815069624165,0.013813898768231681,0.03658536585365854,0.0140817138826738,0.013800079605020324,0.001822081348340198,0.0007013194379664062,0.0006872930492070781,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0002,0.00025,0.00025,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0002,0.0005,0.0005,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0002,0.001,0.001,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0002,0.0015,0.0015,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0002,0.002,0.002,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0002,0.0025,0.0025,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
s3,random,20971,0.0002,0.003,0.003,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19798769729626,0.0,0.0,4
